STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA_x,RGSA_GAS_EFFECT,NGSA_x,NGSA_GAS_EFFECT,DGSA_x,DGSA_GAS_EFFECT,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RGSA_y,NGSA_y,DGSA_y
ABAB,ABB-041,1381.506,,-37.6287,44.776,0.454,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.005612133202466,0.3732,2.0999999999999996
ABAB,ABB-041,1381.6584,,-37.6558,44.776,0.463,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0026994005106786,0.3732,2.0999999999999996
ABAB,ABB-041,1381.8108,,-37.6839,44.776,0.472,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9997951044829427,0.3732,2.0999999999999996
ABAB,ABB-041,1381.9632,,-37.711,44.776,0.481,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9968992206826525,0.3732,2.0999999999999996
ABAB,ABB-041,1382.1156,,-37.738,44.776,0.501,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9940117247439779,0.3732,2.0999999999999996
ABAB,ABB-041,1382.268,,-37.3001,44.776,0.52,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9911325923716772,0.3732,2.0999999999999996
ABAB,ABB-041,1382.4204,,-36.8612,44.776,0.539,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9882617993408659,0.3732,2.0999999999999996
ABAB,ABB-041,1382.5728,,-36.4223,44.776,0.558,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.985399321496831,0.3732,2.0999999999999996
ABAB,ABB-041,1382.7252,,-35.9833,44.776,0.577,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.980619578248197,0.3732,2.0999999999999996
ABAB,ABB-041,1382.8776,,-35.5444,44.776,0.604,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9739505583157311,0.3732,2.0999999999999996
ABAB,ABB-041,1383.03,,-35.1985,44.776,0.632,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9673268932057122,0.3732,2.0999999999999996
ABAB,ABB-041,1383.1824,,-34.8516,44.776,0.659,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9607482744680323,0.3732,2.0999999999999996
ABAB,ABB-041,1383.3348,,-34.5056,44.776,0.687,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9542143957502883,0.3732,2.0999999999999996
ABAB,ABB-041,1383.4872,,-34.1597,44.776,0.714,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9477249527835541,0.3732,2.0999999999999996
ABAB,ABB-041,1383.6396,,-34.1118,44.776,0.769,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9412796433681538,0.3732,2.0999999999999996
ABAB,ABB-041,1383.792,,-34.0648,44.776,0.823,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9348781673596279,0.3732,2.0999999999999996
ABAB,ABB-041,1383.9444,,-34.7379,44.776,0.878,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9285202266547363,0.3732,2.0999999999999996
ABAB,ABB-041,1384.0968,,-35.41,44.776,0.932,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9222055251776148,0.3732,2.0999999999999996
ABAB,ABB-041,1384.2492,,-36.0831,44.776,0.987,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.91593376886593,0.3732,2.0999999999999996
ABAB,ABB-041,1384.4016,,-36.7551,44.776,1.041,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9097046656572242,0.3732,2.0999999999999996
ABAB,ABB-041,1384.554,,-37.2872,44.776,1.079,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.9035179254752953,0.3732,2.0999999999999996
ABAB,ABB-041,1384.7064,,-37.8203,44.776,1.117,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8973732602167256,0.3732,2.0999999999999996
ABAB,ABB-041,1384.8588,,-38.3524,44.776,1.155,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.89127038373741,0.3732,2.0999999999999996
ABAB,ABB-041,1385.0112,,-38.8854,44.776,1.193,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.885209011839268,0.3732,2.0999999999999996
ABAB,ABB-041,1385.1636,,-38.9535,44.776,1.23,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8791888622569912,0.3732,2.0999999999999996
ABAB,ABB-041,1385.316,,-39.0216,44.776,1.268,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.873209654644934,0.3732,2.0999999999999996
