DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_GR,VSH,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RESERVOIR_CLASS,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RW_TEMP,SWE_INDO,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR
1676.4,ABAB,ABB-036,9.212,-62.7326,126.763,4.196,0.1794,2.444,B1,,182.25632183908047,182.25632183908047,0.8529222222222222,1.0,,,,,,,3.307934473499917,True,1.2684652714902411,0.8880655265000827,0.2531283259178494,True,0.0737283259178493,2.4132040458863355,False,-0.0307959541136644,True,True,False,2,Zona Menarik,1.2951379310344828,,,,,
1676.5524,ABAB,ABB-036,9.2,-61.975,135.311,3.599,0.1999,2.453,B1,,192.0816091954023,192.0816091954023,0.9479,1.0,,,,,,,2.825254466653695,True,1.2738675551100889,0.7737455333463052,0.2884109671160542,True,0.0885109671160541,2.405921309101329,False,-0.0470786908986706,True,True,False,2,Zona Menarik,1.2951379310344828,,,,,
1676.7048,ABAB,ABB-036,9.187,-61.2174,140.504,3.245,0.2174,2.472,B1,,198.05057471264365,198.05057471264365,1.0,1.0,,,,,,,2.615554612874317,True,1.2406546527560232,0.6294453871256831,0.3084594279039985,True,0.0910594279039984,2.3989889894437333,False,-0.0730110105562666,True,True,False,2,Zona Menarik,1.2951379310344828,,,,,
1676.8572,ABAB,ABB-036,9.233,-61.3078,144.6,2.891,0.235,2.473,B1,,202.75862068965515,202.75862068965515,1.0,1.0,,,,,,,2.4946214858094966,True,1.1588932495151183,0.3963785141905034,0.3228253669438246,True,0.0878253669438245,2.3930280194484865,False,-0.0799719805515133,True,True,False,2,Zona Menarik,1.2951379310344828,,,,,
1677.0096,ABAB,ABB-036,9.266,-61.3972,147.644,2.735,0.2524,2.472,B1,,206.2574712643678,206.2574712643678,1.0,1.0,,,,,,,2.429800158772622,True,1.125606972295839,0.305199841227378,0.332400208326403,True,0.080000208326403,2.388971092883664,False,-0.0830289071163363,True,True,False,2,Zona Menarik,1.2951379310344828,,,,,
1677.162,ABAB,ABB-036,9.298,-61.4876,148.531,2.579,0.28,2.477,B1,,207.2770114942529,207.2770114942529,1.0,1.0,,,,,,,2.413808059268085,True,1.0684362371306375,0.1651919407319151,0.334923784052124,True,0.0549237840521239,2.388958148432201,False,-0.0880418515677989,True,True,False,2,Zona Menarik,1.2951379310344828,,,,,
1677.3144,ABAB,ABB-036,9.328,-62.21,147.432,2.423,0.2889,2.463,B1,,206.01379310344825,206.01379310344825,1.0,1.0,,,,,,,2.431151460860385,False,0.9966470781472824,-0.0081514608603852,0.3316381135909374,True,0.0427381135909374,2.3918350453291586,False,-0.0711649546708415,False,True,False,1,Zona Lemah,1.2951379310344828,,,,,
1677.4668,ABAB,ABB-036,9.349,-62.9334,148.054,2.324,0.2905,2.442,B1,,206.7287356321839,206.7287356321839,1.0,1.0,,,,,,,2.418648184427099,False,0.9608673204162108,-0.0946481844270992,0.3333850364303332,True,0.0428850364303332,2.392472074966543,False,-0.0495279250334572,False,True,False,1,Zona Lemah,1.2951379310344828,,,,,
1677.6192,ABAB,ABB-036,9.364,-63.6558,148.676,2.224,0.3063,2.435,B1,,207.44367816091952,207.44367816091952,1.0,1.0,,,,,,,2.406662492559417,False,0.9241013257471096,-0.1826624925594169,0.3350619218052855,True,0.0287619218052854,2.3933759772724663,False,-0.0416240227275337,False,True,False,1,Zona Lemah,1.2951379310344828,,,,,
1677.7716,ABAB,ABB-036,9.379,-64.5282,149.298,2.125,0.3242,2.424,B1,,208.15862068965515,208.15862068965515,1.0,1.0,,,,,,,2.3951784267436014,False,0.8871990396511185,-0.2701784267436014,0.3366684425558461,True,0.0124684425558461,2.394556953664946,False,-0.0294430463350541,False,True,False,1,Zona Lemah,1.2951379310344828,,,,,
