DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER
1385.6208,ABAB,ABB-122,,-54.9061,69.541,1.129,0.3972,2.19,GUF
1385.7732,ABAB,ABB-122,,-54.5239,69.541,1.102,0.3972,2.19,GUF
1385.9256,ABAB,ABB-122,,-54.1406,69.541,1.09,0.3972,2.19,GUF
1386.078,ABAB,ABB-122,,-53.7584,69.541,1.077,0.3972,2.19,GUF
1386.2304,ABAB,ABB-122,,-53.5671,69.541,1.065,0.3972,2.19,GUF
1386.3828,ABAB,ABB-122,,-53.3748,69.541,1.053,0.3972,2.19,GUF
1386.5352,ABAB,ABB-122,,-53.1836,69.541,1.056,0.3972,2.19,GUF
1386.6876,ABAB,ABB-122,,-52.9923,69.541,1.059,0.3972,2.19,GUF
1386.84,ABAB,ABB-122,,-53.1151,69.541,1.063,0.3972,2.19,GUF
1386.9924,ABAB,ABB-122,,-53.2368,69.541,1.066,0.3972,2.19,GUF
1387.1448,ABAB,ABB-122,,-53.3596,69.541,1.065,0.3972,2.19,GUF
1387.2972,ABAB,ABB-122,,-53.4813,69.541,1.064,0.3972,2.19,GUF
1387.4496,ABAB,ABB-122,,-53.135,69.541,1.064,0.3972,2.19,GUF
1387.602,ABAB,ABB-122,,-52.7888,69.541,1.059,0.3972,2.19,GUF
1387.7544,ABAB,ABB-122,,-52.4425,69.541,1.022,0.3972,2.19,GUF
1387.9068,ABAB,ABB-122,,-52.0963,69.541,0.985,0.3972,2.19,GUF
1388.0592,ABAB,ABB-122,,-52.06,69.541,0.942,0.3972,2.19,GUF
1388.2116,ABAB,ABB-122,,-52.0228,69.541,0.901,0.3972,2.19,GUF
1388.364,ABAB,ABB-122,,-51.9865,69.541,0.862,0.3972,2.19,GUF
1388.5164,ABAB,ABB-122,,-51.9493,69.541,0.824,0.3972,2.19,GUF
1388.6688,ABAB,ABB-122,,-51.992,69.541,0.823,0.3972,2.19,GUF
1388.8212,ABAB,ABB-122,,-52.0337,69.541,0.821,0.3972,2.19,GUF
