STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA
ABAB,ABB-103,1376.172,,-22.598,77.117,0.751,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.735513121875834,-0.2700558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1376.3244,,-22.632,77.117,0.705,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.6904617189380332,-0.3160558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1376.4768,,-22.667,77.117,0.66,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.6463896943249673,-0.36105588284362444,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1376.6292,,-22.701,77.117,0.614,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.6013382913871665,-0.4070558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1376.7816,,-22.735,77.117,0.592,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.5797919682430009,-0.4290558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1376.934,,-22.929,77.117,0.57,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.5582456450988353,-0.4510558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1377.0864,,-23.123,77.117,0.549,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.5376787002794047,-0.47205588284362443,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1377.2388,,-23.819,77.117,0.567,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.5553075101246309,-0.4540558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1377.3912,,-24.516,77.117,0.586,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.5739156982945921,-0.4350558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1377.5436,,-24.666,77.117,0.604,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.5915445081398185,-0.4170558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1377.696,,-24.816,77.117,0.653,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.6395340460518237,-0.36805588284362445,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1377.8484,,-24.061,77.117,0.702,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.6875235839638287,-0.3190558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
